Name,Latitude,Longitude,Type
Indigo Bay & Bloor,43.6681,-79.3984,Indigo
Indigo Eaton Centre,43.6544,-79.3807,Indigo
Indigo Yonge & Eglinton,43.7066,-79.3985,Indigo
Bakka-Phoenix Books,43.6629,-79.4,Retailer
The Monkey's Paw,43.6611,-79.4327,Retailer
Glad Day Bookshop,43.6655,-79.3806,Retailer
Type Books,43.6456,-79.4145,Retailer
Another Story Bookshop,43.6486,-79.4498,Retailer
Ben McNally Books,43.6515,-79.3806,Retailer
BMV Books,43.6663,-79.4051,Retailer
Sellers & Newel Second-Hand Books,43.6553,-79.4199,Retailer
Queen Books,43.6612,-79.3407,Retailer
Seekers Books,43.6661,-79.4071,Retailer
Re:Reading,43.6844,-79.4414,Retailer
Swipe Design | Books + Objects,43.6446,-79.3954,Retailer
Mabel's Fables,43.7042,-79.3977,Retailer
The Book Exchange,43.7051,-79.4052,Retailer
Eliot's Bookshop,43.6645,-79.4008,Retailer
Book City (Danforth),43.6781,-79.3515,Retailer
Book City (Bloor West),43.6510,-79.4774,Retailer
Book City (Beaches),43.6767,-79.2898,Retailer
Novel Spot Bookshop,43.6248,-79.5131,Retailer
Book Ends South,43.7759,-79.3430,Retailer
Toronto Reference Library (Book Store inside),43.6719,-79.3866,Retailer
Press Books Coffee Vinyl,43.6522,-79.4344,Cafe
The Reading Room Cafe,43.7680,-79.4136,Cafe
The Great Escape Book Store,43.6832,-79.3309,Retailer
